Algorithm,DataType,Size,Iterations,AvgTime_ns,ArrayMemory_bytes,ExtraMemory_bytes,TotalMemory_bytes
BubbleSort,FewUnique,100000,1,20700204400,400000,12,400012
InsertionSort,FewUnique,100000,1,854955000,400000,12,400012
SelectionSort,FewUnique,100000,1,2385290100,400000,12,400012
MergeSort,FewUnique,100000,10,12933130,400000,400000,800000
QuickSort,FewUnique,100000,10,2235830,400000,265,400265
HeapSort,FewUnique,100000,10,4931910,400000,12,400012
BubbleSort,Random,500000,0,SKIPPED,SKIPPED,SKIPPED,SKIPPED
InsertionSort,Random,500000,0,SKIPPED,SKIPPED,SKIPPED,SKIPPED
SelectionSort,Random,500000,0,SKIPPED,SKIPPED,SKIPPED,SKIPPED
MergeSort,Random,500000,1,86984700,2000000,2000000,4000000
QuickSort,Random,500000,1,34428200,2000000,302,2000302
HeapSort,Random,500000,1,49036900,2000000,12,2000012
BubbleSort,Sorted,500000,0,SKIPPED,SKIPPED,SKIPPED,SKIPPED
InsertionSort,Sorted,500000,0,SKIPPED,SKIPPED,SKIPPED,SKIPPED
SelectionSort,Sorted,500000,0,SKIPPED,SKIPPED,SKIPPED,SKIPPED
MergeSort,Sorted,500000,1,55662700,2000000,2000000,4000000
QuickSort,Sorted,500000,1,6067600,2000000,302,2000302
HeapSort,Sorted,500000,1,25305500,2000000,12,2000012
BubbleSort,Reverse,500000,0,SKIPPED,SKIPPED,SKIPPED,SKIPPED
InsertionSort,Reverse,500000,0,SKIPPED,SKIPPED,SKIPPED,SKIPPED
SelectionSort,Reverse,500000,0,SKIPPED,SKIPPED,SKIPPED,SKIPPED
MergeSort,Reverse,500000,1,57204300,2000000,2000000,4000000
QuickSort,Reverse,500000,1,5962500,2000000,302,2000302
HeapSort,Reverse,500000,1,26670400,2000000,12,2000012
BubbleSort,NearlySorted,500000,0,SKIPPED,SKIPPED,SKIPPED,SKIPPED
InsertionSort,NearlySorted,500000,0,SKIPPED,SKIPPED,SKIPPED,SKIPPED
SelectionSort,NearlySorted,500000,0,SKIPPED,SKIPPED,SKIPPED,SKIPPED
MergeSort,NearlySorted,500000,1,61985300,2000000,2000000,4000000
QuickSort,NearlySorted,500000,1,10415500,2000000,302,2000302
HeapSort,NearlySorted,500000,1,29096100,2000000,12,2000012
BubbleSort,FewUnique,500000,0,SKIPPED,SKIPPED,SKIPPED,SKIPPED
InsertionSort,FewUnique,500000,0,SKIPPED,SKIPPED,SKIPPED,SKIPPED
SelectionSort,FewUnique,500000,0,SKIPPED,SKIPPED,SKIPPED,SKIPPED
